Well_Job_ID,Operator,Contractor,DSRE,Discard_Ratio,Total_SCE,Total_Dil,ROP,Temp,Well_Name,flowline_Shakers,DOW,AMW,Drilling_Hours,Haul_OFF,Base_Oil,Water,Weight_Material,Chemicals,TD_Date,Hole_Size,Dilution_Ratio,Solids_Generated
207,EQT Corporation,Pioneer 72,0.7937,1.5288,1438.26,2352.53,125.57,107.67,596169 (12H),Brandt King Cobra,6,114.6,2379.01,965.05,220,297.45,139.37,730.66,12/15/2018,8.5,1.1277,1060.48
208,EQT Corporation,Pioneer 72,0.8038,1.9156,1754.96,2491.58,102.25,97.5,596143 (6H),Derrick 806,6,126.0,2671.08,1222.48,157,519.64,152.46,440.0,12/31/2018,8.5,1.169,949.5
209,EQT Corporation,Pioneer 72,0.8243,1.8497,1989.16,2717.14,126.58,103.6,596142 (4H),Derrick 806,5,118.5,3064.58,1016.24,234,453.15,158.75,855.0,1/10/2019,8.5,0.9361,1105.44
211,EQT Corporation,Pioneer 72,0.8329,1.1705,1318.75,2302.76,149.27,102.33,596141 (2H),Derrick 806,6,101.6,2445.43,603.32,136,346.41,167.03,1050.0,1/24/2019,8.5,0.95,1117.67
